N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"80,300",100,+0.12%,100,"4,793,735","5,969,783",51.88,"17,965,886",15.57,9.99,
2,SK하이닉스,"127,500","1,500",+1.19%,"5,000","928,203","728,002",48.86,"4,063,697",11.53,9.53,
3,NAVER,"384,500","4,000",+1.05%,100,"630,769","164,049",56.14,"529,419",3.81,15.22,
4,삼성전자우,"72,400",0,0.00%,100,"595,770","822,887",74.57,"2,192,650",14.03,N/A,
5,삼성바이오로직스,"891,000","5,000",+0.56%,"2,500","589,530","66,165",11.14,"90,362",143.62,N/A,
6,카카오,"113,500",500,+0.44%,100,"505,966","445,785",30.75,"2,353,754",44.69,2.70,
7,현대차,"214,000",500,+0.23%,"5,000","457,250","213,668",28.27,"874,628",10.84,2.04,
8,삼성SDI,"651,000","7,000",+1.09%,"5,000","447,657","68,765",45.35,"224,721",40.83,4.54,
9,LG화학,"632,000","5,000",+0.80%,"5,000","446,144","70,592",46.62,"180,206",16.47,2.93,
10,기아,"84,500",300,-0.35%,"5,000","342,532","405,363",34.95,"1,199,336",7.66,5.05,
11,셀트리온,"216,000","12,000",+5.88%,"1,000","297,966","137,947",20.59,"1,925,161",53.91,16.68,
12,카카오뱅크,"60,300","1,000",+1.69%,"5,000","286,521","475,159",17.26,"853,957",195.15,5.08,
13,현대모비스,"265,500","4,000",+1.53%,"5,000","251,092","94,573",34.19,"296,162",10.69,4.66,
14,POSCO,"283,500","2,000",+0.71%,"5,000","247,175","87,187",52.29,"333,603",4.25,3.61,
15,카카오페이,"181,500","13,000",+7.72%,500,"239,368","131,883",42.64,"512,579",-902.99,-17.97,
16,KB금융,"56,800",100,+0.18%,"5,000","236,179","415,808",69.36,"1,444,840",5.43,8.53,
17,크래프톤,"462,000","11,500",+2.55%,100,"226,228","48,967",30.52,"213,183",36.21,61.86,
18,LG전자,"138,000",0,0.00%,"5,000","225,834","163,648",29.01,"1,168,619",19.91,13.23,
19,삼성물산,"118,000","1,000",+0.85%,100,"220,527","186,887",14.83,"553,770",13.43,3.81,
20,SK이노베이션,"226,000","2,000",+0.89%,"5,000","208,972","92,466",23.58,"432,984","-6,647.06",-13.58,
21,신한지주,"38,150",250,+0.66%,"5,000","197,083","516,600",60.19,"2,079,733",5.06,8.20,
22,SK,"255,500",500,-0.20%,200,"189,452","74,149",21.49,"263,766",29.86,1.11,
23,LG생활건강,"1,132,000",0,0.00%,"5,000","176,798","15,618",43.25,"22,880",23.56,17.92,
24,SK바이오사이언스,"221,500","2,000",-0.89%,500,"169,448","76,500",5.95,"1,226,027",85.29,13.25,
25,하이브,"358,000","17,000",+4.99%,500,"148,045","41,353",16.68,"483,865",127.36,12.52,
26,삼성전기,"194,000",500,-0.26%,"5,000","144,906","74,694",30.75,"817,129",14.91,10.92,
27,한국전력,"22,500","1,050",+4.90%,"5,000","144,442","641,964",14.62,"9,109,094",-13.26,2.91,
28,엔씨소프트,"656,000","1,000",-0.15%,500,"144,018","21,954",44.54,"108,176",40.50,20.83,
29,삼성생명,"68,500",600,+0.88%,500,"137,000","200,000",12.28,"510,261",8.76,3.53,
30,SK텔레콤,"61,300",0,0.00%,100,"134,145","218,833",44.37,"1,056,955",9.51,6.44,
31,하나금융지주,"43,950",150,-0.34%,"5,000","131,956","300,242",67.40,"1,977,466",4.11,8.96,
32,LG,"83,700","1,100",+1.33%,"5,000","131,661","157,301",36.04,"369,185",5.52,7.50,
33,삼성에스디에스,"161,500","1,500",+0.94%,500,"124,965","77,378",11.00,"109,803",18.39,6.71,
34,HMM,"25,500","1,000",-3.77%,"5,000","124,705","489,039",10.44,"6,549,823",3.21,8.93,
35,SK아이이테크놀로지,"166,000","6,000",+3.75%,"1,000","118,354","71,298",11.67,"324,508",109.14,11.00,
36,KT&G,"83,900",300,-0.36%,"5,000","115,188","137,292",35.38,"1,208,245",9.67,13.22,
37,포스코케미칼,"142,000",0,0.00%,500,"109,998","77,463",6.15,"358,101",79.29,2.96,
38,두산중공업,"20,750",600,+2.98%,"5,000","108,091","520,921",8.97,"7,480,124",59.46,-37.20,
39,삼성화재,"222,000","3,500",+1.60%,500,"105,172","47,375",48.37,"163,714",9.60,4.96,
40,넷마블,"121,000",500,-0.41%,100,"104,004","85,954",22.88,"210,489",44.75,6.35,
41,아모레퍼시픽,"176,500","2,000",+1.15%,500,"103,240","58,493",30.63,"131,733",68.07,0.78,
42,대한항공,"29,000",200,+0.69%,"5,000","100,868","347,821",11.75,"1,108,321",13.62,-7.22,
43,S-Oil,"89,200","1,800",+2.06%,"2,500","100,424","112,583",77.67,"452,340",8.59,-13.07,
44,고려아연,"532,000","1,000",-0.19%,"5,000","100,388","18,870",18.20,"47,591",13.30,8.37,
45,우리금융지주,"13,150",0,0.00%,"5,000","95,740","728,061",29.94,"5,140,027",4.02,5.87,
46,SK스퀘어,"64,800",400,-0.61%,100,"91,671","141,468",38.24,"1,081,543",N/A,N/A,
47,KT,"32,850",150,+0.46%,"5,000","85,775","261,112",43.76,"2,436,468",8.39,4.76,
48,LG이노텍,"359,500","3,500",+0.98%,"5,000","85,083","23,667",26.29,"538,377",11.39,10.20,
49,기업은행,"11,100",50,+0.45%,"5,000","82,617","744,301",12.94,"4,120,714",4.11,6.44,
50,LG디스플레이,"23,000",300,-1.29%,"5,000","82,298","357,816",17.32,"5,284,213",5.21,-0.79,
N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
51,현대중공업,"92,700",0,0.00%,"5,000","82,293","88,773",1.61,"214,938",-10.12,-7.86,
52,롯데케미칼,"229,000",500,-0.22%,"5,000","78,491","34,275",25.01,"127,214",5.76,1.22,
53,SK바이오팜,"96,200",900,-0.93%,500,"75,337","78,313",6.14,"229,545",-186.43,-135.18,
54,한온시스템,"14,000",100,+0.72%,100,"74,732","533,800",17.65,"713,230",25.55,5.09,
55,F&F,"947,000","52,000",+5.81%,500,"72,554","7,661",14.98,"77,432",N/A,N/A,
