0,날짜,시가,고가,저가,종가,거래량,외국인소진율,내일 값
1,20200525,48750,48900,48450,48850,14337913,54.95,48700
2,20200526,48700,49450,48600,49250,15127490,54.91,48950
3,20200527,48950,50000,48800,49900,19548479,54.96,51100
4,20200528,51100,51200,49900,50400,31309318,55.0,50000
5,20200529,50000,50700,49700,50700,27596961,55.07,50800
6,20200601,50800,51200,50600,51200,16949183,55.08,51000
7,20200602,51000,51500,50800,51400,14247933,55.07,51800
8,20200603,51800,55000,51700,54500,49257814,55.13,55800
9,20200604,55800,57000,54600,54600,40220334,55.13,54400
10,20200605,54400,55900,54000,55500,22743629,55.13,56400
11,20200608,56400,56500,54700,54900,25634965,55.1,55800
12,20200609,55800,56500,54400,55500,23998831,55.11,55100
13,20200610,55100,55900,54900,55400,16742493,55.09,54500
14,20200611,54500,55100,53200,54300,33815123,55.06,52100
15,20200612,52100,52800,51500,52300,26976019,55.06,51400
16,20200615,51400,52000,49900,49900,28772921,55.04,51200
17,20200616,51200,52100,50600,52100,21808375,55.03,52100
18,20200617,52100,52900,51300,52200,26672595,55.05,52200
19,20200618,52200,52300,51600,52300,15982926,55.06,52600
20,20200619,52600,52900,51600,52900,18157985,55.09,52000
21,20200622,52000,52600,51800,52000,13801350,55.07,52500
22,20200623,52500,52800,51100,51400,18086152,55.06,51900
23,20200624,51900,53900,51600,52900,24519552,55.04,52100
24,20200625,52100,53000,51900,51900,18541624,54.96,52800
25,20200626,52800,53900,52200,53300,21575360,54.99,52500
26,20200629,52500,53200,52000,52400,17776925,54.97,53900
27,20200630,53900,53900,52800,52800,21157172,55.0,53400
28,20200701,53400,53600,52400,52600,16706143,55.08,52100
29,20200702,52100,52900,52100,52900,14142583,55.09,53000
30,20200703,53000,53600,52700,53600,11887868,55.11,54000
31,20200706,54000,55000,53800,55000,19856623,55.14,55800
32,20200707,55800,55900,53400,53400,30760032,55.13,53600
33,20200708,53600,53900,52900,53000,19664652,55.14,53200
34,20200709,53200,53600,52800,52800,17054850,55.17,53100
35,20200710,53100,53200,52300,52700,13714746,55.21,53300
36,20200713,53300,53800,53100,53400,12240188,55.23,53700
37,20200714,53700,53800,53200,53800,14269484,55.27,54400
38,20200715,54400,55000,54300,54700,24051450,55.36,54800
39,20200716,54800,54800,53800,53800,16779127,55.34,54200
40,20200717,54200,54700,54100,54400,10096174,55.37,54800
41,20200720,54800,54800,54000,54200,10507530,55.39,55200
42,20200721,55200,55400,54800,55300,18297260,55.48,55300
43,20200722,55300,55500,54700,54700,12885057,55.48,54700
44,20200723,54700,54700,53800,54100,16214932,55.46,54000
45,20200724,54000,54400,53700,54200,10994535,55.5,54300
46,20200727,54300,55700,54300,55600,21054421,55.62,57000
47,20200728,57000,58800,56400,58600,48431566,55.9,60300
48,20200729,60300,60400,58600,59000,36476611,55.98,59700
49,20200730,59700,60100,59000,59000,19285354,56.01,59500
50,20200731,59500,59600,57700,57900,21943345,55.99,57800
