날짜,종가,전일비,시가,고가,저가,거래량
2022.01.03,"78,600",300,"79,400","79,800","78,200","13,349,120"
2021.12.30,"78,300",500,"78,900","79,500","78,100","14,236,700"
2021.12.29,"78,800","1,500","80,200","80,200","78,500","19,794,795"
2021.12.28,"80,300",100,"80,200","80,400","79,700","18,226,325"
2021.12.27,"80,200",300,"80,600","80,600","79,800","10,783,368"
2021.12.24,"80,500",600,"80,200","80,800","80,200","12,086,380"
2021.12.23,"79,900",500,"79,800","80,000","79,300","13,577,498"
2021.12.22,"79,400","1,300","78,900","79,400","78,800","17,105,892"
2021.12.21,"78,100","1,000","77,900","78,300","77,500","14,245,298"
2021.12.20,"77,100",900,"77,600","77,800","76,800","11,264,375"
2021.12.17,"78,000",200,"76,800","78,000","76,800","13,108,479"
2021.12.16,"77,800",200,"78,500","78,500","77,400","11,996,128"
2021.12.15,"77,600",600,"76,400","77,600","76,300","9,584,939"
2021.12.14,"77,000",200,"76,500","77,200","76,200","10,976,660"
2021.12.13,"76,800",100,"77,200","78,300","76,500","15,038,750"
2021.12.10,"76,900","1,300","77,400","77,600","76,800","9,155,219"
2021.12.09,"78,200",800,"77,400","78,200","77,000","21,604,528"
2021.12.08,"77,400",0,"78,300","78,600","77,100","21,558,340"
2021.12.07,"77,400","1,100","76,100","77,700","75,600","19,232,453"
2021.12.06,"76,300",700,"75,100","76,700","74,900","16,391,250"
2021.12.03,"75,600",200,"75,600","76,000","74,100","18,330,240"
2021.12.02,"75,800","1,400","73,900","75,800","73,800","23,652,940"
2021.12.01,"74,400","3,100","72,000","74,800","71,600","21,954,856"
2021.11.30,"71,300","1,000","73,200","73,900","70,500","30,364,841"
2021.11.29,"72,300",0,"71,700","73,000","71,400","16,682,559"
2021.11.26,"72,300","1,400","73,500","74,100","72,000","13,002,242"
2021.11.25,"73,700","1,100","75,100","75,100","73,600","12,559,258"
2021.11.24,"74,800",500,"76,000","76,200","74,100","15,652,305"
2021.11.23,"75,300",400,"76,000","76,000","74,500","22,029,195"
2021.11.22,"74,900","3,700","73,300","75,200","73,000","27,506,623"
2021.11.19,"71,200","1,000","70,400","71,400","70,100","11,954,728"
2021.11.18,"70,200",500,"70,700","71,000","70,200","10,144,957"
2021.11.17,"70,700",600,"71,300","71,600","70,600","11,027,606"
2021.11.16,"71,300",100,"71,500","72,000","71,300","10,919,239"
2021.11.15,"71,400",800,"71,700","71,900","70,900","12,420,710"
2021.11.12,"70,600",700,"70,200","70,900","69,900","10,087,450"
2021.11.11,"69,900",300,"69,900","70,000","69,600","11,489,122"
2021.11.10,"70,200",300,"70,300","70,900","70,200","9,422,009"
2021.11.09,"70,500",100,"70,300","71,000","70,100","11,159,589"
2021.11.08,"70,600",400,"70,400","70,600","69,800","11,121,981"
2021.11.05,"70,200",400,"71,600","71,600","70,200","12,667,743"
2021.11.04,"70,600",200,"71,200","71,600","70,500","11,818,987"
2021.11.03,"70,400","1,100","71,700","71,700","70,100","12,770,428"
2021.11.02,"71,500","1,600","70,800","72,200","70,700","16,812,570"
2021.11.01,"69,900",100,"70,200","70,600","69,900","11,503,729"
2021.10.29,"69,800",900,"71,200","71,600","69,700","17,016,151"
2021.10.28,"70,700",600,"69,500","72,200","69,500","20,644,902"
2021.10.27,"70,100","1,000","71,000","71,000","70,000","10,295,316"
2021.10.26,"71,100",900,"70,600","71,500","70,400","10,528,252"
2021.10.25,"70,200",200,"69,900","70,600","69,500","10,029,621"
2021.10.22,"70,400",200,"70,000","70,700","70,000","8,395,448"
2021.10.21,"70,200",100,"70,300","70,600","70,000","10,891,094"
2021.10.20,"70,300",300,"70,700","71,000","70,200","10,151,638"
2021.10.19,"70,600",400,"70,800","71,000","70,400","9,507,991"
2021.10.18,"70,200",100,"70,200","70,300","69,200","13,486,391"
2021.10.15,"70,100",700,"70,200","71,000","70,000","18,051,612"
2021.10.14,"69,400",600,"69,000","69,800","68,800","19,520,641"
2021.10.13,"68,800",200,"68,700","69,600","68,300","24,172,015"
2021.10.12,"69,000","2,500","70,700","70,900","68,700","31,001,484"
2021.10.08,"71,500",100,"72,300","72,400","71,500","14,043,287"
2021.10.07,"71,600",300,"71,600","72,100","71,300","13,683,532"
2021.10.06,"71,300",900,"72,600","72,800","71,200","18,956,962"
2021.10.05,"72,200","1,000","73,000","73,000","71,400","24,013,921"
2021.10.01,"73,200",900,"73,900","74,000","72,900","15,803,395"
2021.09.30,"74,100",0,"74,300","74,800","73,700","19,919,361"
2021.09.29,"74,100","2,200","74,800","75,300","73,800","23,992,458"
2021.09.28,"76,300","1,400","77,700","77,800","76,200","15,406,382"
2021.09.27,"77,700",400,"77,300","77,700","77,000","11,699,798"
2021.09.24,"77,300",100,"77,600","77,700","77,100","12,247,274"
2021.09.23,"77,400",200,"77,500","77,600","76,800","17,055,590"
2021.09.17,"77,200","1,100","76,300","77,200","75,900","16,289,502"
2021.09.16,"76,100",900,"77,300","77,400","76,100","13,067,622"
2021.09.15,"77,000",400,"77,400","77,400","76,400","12,829,128"
2021.09.14,"76,600",300,"77,100","77,700","76,600","18,167,057"
2021.09.13,"76,300","1,000","75,200","76,300","75,100","11,397,775"
2021.09.10,"75,300",0,"75,300","75,600","74,800","10,103,212"
2021.09.09,"75,300","1,000","76,400","76,600","75,000","17,600,770"
2021.09.08,"76,300",200,"76,000","76,400","75,600","11,798,147"
2021.09.07,"76,100","1,200","77,100","77,100","75,900","13,239,401"
2021.09.06,"77,300",700,"76,800","77,600","76,600","12,861,180"
2021.09.03,"76,600",600,"76,400","76,700","76,000","12,096,419"
2021.09.02,"76,000",800,"76,800","76,800","75,700","15,347,486"
2021.09.01,"76,800",100,"76,700","77,100","75,900","16,114,775"
2021.08.31,"76,700","2,100","74,900","76,700","74,300","24,630,370"
2021.08.30,"74,600",300,"75,400","75,500","74,200","12,686,999"
2021.08.27,"74,300",300,"74,300","75,000","73,800","15,172,748"
2021.08.26,"74,600","1,100","76,100","76,200","74,600","16,671,494"
2021.08.25,"75,700",100,"76,200","76,600","74,900","22,319,664"
2021.08.24,"75,600","2,300","73,900","75,700","73,900","21,016,913"
2021.08.23,"73,300",600,"73,300","74,000","73,000","19,384,648"
2021.08.20,"72,700",400,"73,500","73,900","72,500","22,364,803"
2021.08.19,"73,100",800,"73,500","74,400","73,100","22,166,298"
2021.08.18,"73,900",300,"73,900","74,600","73,100","29,192,631"
2021.08.17,"74,200",200,"74,000","75,100","74,000","30,944,847"
2021.08.13,"74,400","2,600","75,800","76,000","74,100","61,270,643"
2021.08.12,"77,000","1,500","77,100","78,200","76,900","42,365,223"
2021.08.11,"78,500","1,700","79,600","79,800","78,500","30,241,137"
2021.08.10,"80,200","1,300","82,300","82,400","80,100","20,362,639"
2021.08.09,"81,500",0,"81,500","82,300","80,900","15,522,581"
2021.08.06,"81,500",600,"81,900","82,500","81,300","13,342,623"
2021.08.05,"82,100",800,"83,300","83,300","82,000","18,485,469"
2021.08.04,"82,900","1,500","82,200","83,100","81,800","25,642,368"
2021.08.03,"81,400","2,100","79,400","81,400","79,300","24,339,360"
2021.08.02,"79,300",800,"79,200","79,500","78,700","11,739,124"
2021.07.30,"78,500",500,"78,900","78,900","78,500","13,823,411"
2021.07.29,"79,000",200,"78,800","79,400","78,800","14,360,453"
2021.07.28,"79,200",700,"78,300","79,200","78,100","12,743,417"
2021.07.27,"78,500",300,"79,200","79,400","78,500","11,427,693"
2021.07.26,"78,800",500,"79,400","79,500","78,800","10,040,975"
2021.07.23,"79,300",400,"79,700","79,900","79,200","9,098,910"
2021.07.22,"79,700","1,200","79,000","79,800","78,900","12,618,790"
2021.07.21,"78,500",500,"79,000","79,100","78,500","12,355,296"
2021.07.20,"79,000",0,"78,500","79,000","78,400","12,456,646"
2021.07.19,"79,000",800,"79,100","79,200","78,800","13,155,414"
2021.07.16,"79,800",800,"80,100","80,100","79,500","10,859,399"
2021.07.15,"80,600","1,100","79,800","80,600","79,500","13,766,279"
2021.07.14,"79,500",300,"79,400","79,600","79,100","11,575,636"
2021.07.13,"79,800",100,"80,000","80,200","79,800","9,863,450"
2021.07.12,"79,700",300,"79,900","80,000","79,500","9,768,108"
2021.07.09,"79,400",500,"79,600","79,800","79,000","22,720,577"
2021.07.08,"79,900",900,"81,100","81,200","79,900","16,660,998"
2021.07.07,"80,800",400,"81,200","81,300","80,300","15,992,202"
2021.07.06,"81,200",800,"80,600","81,200","80,500","12,131,651"
2021.07.05,"80,400",400,"80,100","80,800","80,000","8,330,969"
2021.07.02,"80,000",100,"80,000","80,400","79,900","8,753,097"
2021.07.01,"80,100",600,"80,500","80,600","80,000","13,382,882"
2021.06.30,"80,700",300,"81,100","81,400","80,700","13,288,643"
2021.06.29,"81,000",900,"81,900","82,100","80,800","15,744,317"
2021.06.28,"81,900",300,"81,700","82,000","81,600","11,578,529"
2021.06.25,"81,600",400,"81,500","81,900","81,200","13,481,405"
2021.06.24,"81,200","1,100","80,400","81,400","80,100","18,771,080"
2021.06.23,"80,100",100,"80,500","80,600","79,900","13,856,548"
2021.06.22,"80,000",100,"80,200","80,300","79,900","11,773,365"
2021.06.21,"79,900",600,"79,700","80,000","79,600","16,063,340"
2021.06.18,"80,500",400,"81,100","81,100","80,500","14,916,721"
2021.06.17,"80,900",900,"81,100","81,300","80,700","14,007,385"
2021.06.16,"81,800",900,"81,500","81,900","81,100","14,999,855"
2021.06.15,"80,900",400,"80,900","81,200","80,600","10,075,685"
2021.06.14,"80,500",500,"80,800","80,900","80,500","10,550,078"
2021.06.11,"81,000",0,"81,200","81,700","80,700","14,087,962"
2021.06.10,"81,000",100,"81,300","81,400","80,900","17,586,995"
2021.06.09,"81,100",800,"81,500","82,000","81,100","14,908,823"
2021.06.08,"81,900",0,"82,300","82,600","81,800","12,781,226"
2021.06.07,"81,900",300,"82,700","82,800","81,600","16,496,197"
2021.06.04,"82,200",600,"82,700","82,700","81,500","18,112,259"
2021.06.03,"82,800","2,000","81,300","83,000","81,100","29,546,007"
2021.06.02,"80,800",200,"80,400","81,400","80,300","16,414,644"
2021.06.01,"80,600",100,"80,500","81,300","80,100","14,058,401"
