N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"80,200",300,-0.37%,100,"4,787,766","5,969,783",51.89,"10,751,648",15.55,9.99,
2,SK하이닉스,"126,000","2,000",-1.56%,"5,000","917,283","728,002",48.87,"2,665,643",11.39,9.53,
3,NAVER,"380,500","3,500",-0.91%,100,"624,207","164,049",56.23,"226,053",3.77,15.22,
4,삼성전자우,"72,400",400,-0.55%,100,"595,770","822,887",74.58,"1,359,968",14.03,N/A,
5,삼성바이오로직스,"886,000","1,000",+0.11%,"2,500","586,222","66,165",11.23,"56,996",142.81,N/A,
6,카카오,"113,000","1,500",-1.31%,100,"503,737","445,785",30.78,"1,102,992",44.49,2.70,
7,현대차,"213,500","2,000",-0.93%,"5,000","456,182","213,668",28.33,"528,197",10.82,2.04,
8,삼성SDI,"644,000","7,000",-1.08%,"5,000","442,844","68,765",45.38,"129,276",40.39,4.54,
9,LG화학,"627,000","6,000",+0.97%,"5,000","442,614","70,592",46.62,"146,184",16.34,2.93,
10,기아,"84,800",300,-0.35%,"5,000","343,748","405,363",35.05,"624,066",7.68,5.05,
11,카카오뱅크,"59,300",900,-1.50%,"5,000","281,769","475,159",6.42,"682,611",191.91,5.08,
12,셀트리온,"204,000","3,000",+1.49%,"1,000","281,412","137,947",20.43,"895,070",50.91,16.68,
13,현대모비스,"261,500","1,500",-0.57%,"5,000","247,309","94,573",34.24,"168,277",10.53,4.66,
14,POSCO,"281,500","2,500",-0.88%,"5,000","245,431","87,187",52.38,"159,591",4.22,3.61,
15,KB금융,"56,700",700,-1.22%,"5,000","235,763","415,808",69.39,"724,430",5.42,8.53,
16,LG전자,"138,000","1,500",+1.10%,"5,000","225,834","163,648",29.09,"949,886",19.91,13.23,
17,카카오페이,"168,500",500,-0.30%,500,"222,223","131,883",42.63,"151,986",-838.31,-17.97,
18,크래프톤,"450,500","12,500",-2.70%,100,"220,597","48,967",30.51,"189,449",35.31,61.86,
19,삼성물산,"117,000",0,0.00%,100,"218,658","186,887",14.82,"186,765",13.31,3.81,
20,SK이노베이션,"224,000",500,+0.22%,"5,000","207,123","92,466",23.73,"318,005","-6,588.24",-13.58,
21,신한지주,"37,900",0,0.00%,"5,000","195,791","516,600",60.22,"1,101,936",5.03,8.20,
22,SK,"256,000","1,000",+0.39%,200,"189,822","74,149",20.97,"183,564",29.92,1.11,
23,LG생활건강,"1,132,000","10,000",+0.89%,"5,000","176,798","15,618",43.28,"18,546",23.56,17.92,
24,SK바이오사이언스,"223,500","15,500",-6.49%,500,"170,978","76,500",5.89,"1,178,363",86.06,13.25,
25,삼성전기,"194,500","2,000",-1.02%,"5,000","145,279","74,694",31.05,"836,683",14.95,10.92,
26,엔씨소프트,"657,000","1,000",+0.15%,500,"144,238","21,954",44.51,"98,327",40.56,20.83,
27,하이브,"341,000",500,+0.15%,500,"141,015","41,353",16.61,"152,738",121.31,12.52,
28,한국전력,"21,450",50,-0.23%,"5,000","137,701","641,964",14.62,"1,319,541",-12.64,2.91,
29,삼성생명,"67,900",200,+0.30%,500,"135,800","200,000",12.26,"285,373",8.68,3.53,
30,SK텔레콤,"61,300",400,-0.65%,100,"134,145","218,833",44.24,"802,149",9.51,6.44,
31,하나금융지주,"44,100",350,-0.79%,"5,000","132,407","300,242",67.39,"891,688",4.12,8.96,
32,LG,"82,600",100,+0.12%,"5,000","129,931","157,301",36.07,"242,671",5.45,7.50,
33,HMM,"26,500","1,150",-4.16%,"5,000","129,595","489,039",10.47,"2,927,801",3.34,8.93,
34,삼성에스디에스,"160,000","1,000",-0.62%,500,"123,804","77,378",11.03,"73,000",18.22,6.71,
35,KT&G,"84,200",0,0.00%,"5,000","115,600","137,292",35.34,"507,533",9.71,13.22,
36,SK아이이테크놀로지,"160,000","2,000",-1.23%,"1,000","114,076","71,298",11.69,"169,894",105.19,11.00,
37,포스코케미칼,"142,000","2,000",-1.39%,500,"109,998","77,463",6.18,"172,206",79.29,2.96,
38,두산중공업,"20,150",100,-0.49%,"5,000","104,966","520,921",8.91,"3,934,485",57.74,-37.20,
39,넷마블,"121,500",500,+0.41%,100,"104,434","85,954",22.89,"96,798",44.93,6.35,
40,삼성화재,"218,500","2,500",+1.16%,500,"103,514","47,375",48.39,"103,762",9.45,4.96,
41,아모레퍼시픽,"174,500","1,000",-0.57%,500,"102,070","58,493",30.65,"92,996",67.30,0.78,
42,고려아연,"533,000","2,000",-0.37%,"5,000","100,577","18,870",18.18,"22,660",13.33,8.37,
43,대한항공,"28,800",400,-1.37%,"5,000","100,172","347,821",11.75,"1,086,628",13.53,-7.22,
44,S-Oil,"87,400","1,300",-1.47%,"2,500","98,397","112,583",77.68,"182,934",8.41,-13.07,
45,우리금융지주,"13,150",250,-1.87%,"5,000","95,740","728,061",29.96,"2,553,040",4.02,5.87,
46,SK스퀘어,"65,200",600,-0.91%,100,"92,237","141,468",38.10,"1,193,144",N/A,N/A,
